"","x"
"2295","blood pressure elevated"
"2296","elevated blood sugar"
"2297","feel shaky"
"2298","severe pain  shoulder"
"2299","vitamins c"
"2300","legs   weak  tired"
"2301"," hardly walk"
"2302","cholesterol climbed"
"2303","muscles cramp"
"2304","muscles   lower abdomen started  contract"
"2305","tiredness  leg"
"2306","swollen foot"
"2307","constant low level pain"
"2308","strong pain"
"2309","spikes  pain  severe"
"2310","chronic pain condition"
"2311","sore arms"
"2312","sore neck"
"2313","feeling like something  going  happen"
"2314","jittery"
"2315","legs ached"
"2316","felt weak"
"2317","calf muscles painful  touch"
"2318","neuralgia"
"2319","dementia"
"2320","polyneuropathy"
"2321","rhabdomyolisis"
"2322","subdural hematoma"
"2323","ankle pain"
"2324","aching"
"2325","soreness"
"2326","muscle problem"
"2327","  use  cane  walk"
"2328","ache  discomfort   legs"
"2329","increased weight gain"
"2330","tingling  extremities"
"2331","chronic fatigue"
"2332","severe arthritis"
"2333","pain  shoulders"
"2334","pain   knees  feet"
"2335","severe  chronic tendonitis   elbows"
"2336","tremors"
"2337","inflamatory muscle pain"
"2338","soreness  upper back"
"2339","head pressure"
"2340","head pain"
"2341","feeling     fog"
"2342","slight flush"
"2343","bed wetting"
"2344","rush    face"
"2345","painful muscles"
"2346","painful joints"
"2347","arms weak"
"2348","damage   shoulder joints"
"2349"," concentrate"
"2350","get tired vry easily"
"2351","knee hurt"
"2352","crying   reason"
"2353","high cpk"
"2354","liver blood test mildly elevated"
"2355","burning sensations  shoulders"
"2356","burning sensations  upper chest"
"2357","burning sensations  neck"
"2358","palpatations"
"2359","weak   time"
"2360","periphiral neuropathy"
"2361","nerve sensitivity"
"2362","pain  shoulder joint"
"2363","deep muscle pain"
"2364","muscles   chest started aching"
"2365","insides  vibrating"
"2366","constant twitching"
"2367","muscle aches   legs"
"2368","dehydration"
"2369","dehydrated"
"2370","severe intense left arm  shoulder pain"
"2371","rotator cuff injury"
"2372","twitch"
"2373","parkinson"
"2374","pain   shoulder blades"
"2375","terrible nightmares"
"2376","arms painful"
"2377","persistent triedness"
"2378","uncharacteristical moodiness"
"2379","light headedness"
"2380","unwarranted depression"
"2381","occasional thoughts  suicide"
"2382","tightness   neck"
"2383","stimuly type  feeling   neck"
"2384","husky vocal chords"
"2385","persisten feeling  tiredness"
"2386","foggy vision"
"2387","  able  concentrate"
"2388","lipitor 40 mg"
"2389","hammer toe"
"2390","bunion"
"2391","severe neuropathy"
"2392","sensation  cold toes"
"2393","severe burning   feet"
"2394","severe headache"
"2395","felt flu-like"
"2396","shouldar ache"
"2397","parkinson's"
"2398","magnesium orotate"
"2399","memory problem"
"2400","nervous"
"2401","severe muscle spasms"
"2402","muscles weak"
"2403","constant aching/pain"
"2404","pain  lower legs"
"2405","difficulty getting  sleep"
"2406","severe aggitation"
"2407","quick  snap"
"2408","aggitation"
"2409","low back pain"
"2410","went  stamina"
"2411","went  muscles"
"2412","toe cramping"
"2413","fasciculations (muscle twitches)"
"2414","coq-10"
"2415","lost    feeling  feet, legs  hands"
"2416","tingeling  fingers"
"2417","feet  painful"
"2418","difficult  keep balance"
"2419","difficult  walk"
"2420","difficult  sleep"
"2421","difficulty picking  feet "
"2422","athlete's foot"
"2423","vengence"
"2424","excessive gas"
"2425","severe pain  leg"
"2426","caused   limp"
"2427","pain  hip"
"2428","pain  calf muscle"
"2429","extreme back pain"
"2430","breathing problems"
"2431","black  blue marks"
"2432","blackouts"
"2433","temperature"
"2434","heart palputations"
"2435","abdominal problems"
"2436","tremors  right hand"
"2437","symptoms  parkinson's disease"
"2438","parkinson's disease"
"2439","loss  drive"
"2440","loss  desire    accomplish anything"
"2441","moderatly elevated cholesterol level"
"2442","psychological enigmas"
"2443","cause   limp"
"2444","buzzing sensation  leg"
"2445","achy legs"
"2446","bulging disc"
"2447","excruciating pain   legs"
"2448","terrible headaches"
"2449","itching  "
"2450","brain feel kind  foggy"
"2451","mentally   daze"
"2452","ocular migranes"
"2453","migranes  sexual intercourse"
"2454","migranes"
"2455","tire  quickly muscles"
"2456","leg/foot cramps"
"2457","muscle tiring"
"2458","heavy aching legs"
"2459","tight throat"
"2460","suffocated "
"2461","kidneys hurt"
"2462","black outs"
"2463","leg  feet cramps"
"2464","feet  leg cramps"
"2465","feet  cramping"
"2466","incrased plasma statin levels"
"2467","neurological damage"
"2468","coenzyme q10"
"2469","severe myalgias"
"2470","myopathies"
"2471","muscle dmaage"
"2472","neurodegeneration"
"2473","very bad pain"
"2474","hurt  get "
"2475","hurt  walk"
"2476","hurt  stand"
"2477","severe numbness  hand"
"2478","soreness  calf muscles"
"2479","sharp shock like pain  head"
"2480","intense shoulder  upper arm pain"
"2481","extreme leg pain   calves"
"2482","vision  giving  problems"
"2483","feel like shit   time"
"2484","room spinning"
"2485","vision problems - seeing two  three  everything"
"2486","tendonitis   knees"
"2487","pain   lower legs  feet"
"2488","knee swells"
"2489","excrutiating pain"
"2490","gout"
"2491","toes swell "
"2492","swollen knees"
"2493","hobbling around"
"2494","muscle weakness causing nerve damage  imbalance"
"2495","stiffness similar  arthritis"
"2496","s l o w walking"
"2497"," forearms tightness"
"2498","tightness  legs"
"2499","fatigue  legs"
"2500","fatigue  forearms"
"2501","pain  side muscles  one side  chest"
"2502","off balanced-ness"
"2503","viral upper respiratory infection"
"2504","co-enzyme q"
"2505","zinc"
"2506","omega 3-6-9 capsules"
"2507","burping"
"2508","right hand   hurting"
"2509","right hand   getting numb"
"2510","serious cramping hands"
"2511","serious feet cramping"
"2512","painful inflamation  joints"
"2513","painful inflamation  knuckles"
"2514","significant strength reduction"
"2515","persistent feeling  tiredness"
"2516","overall muscle soreness"
"2517","barely walk"
"2518","slurring  speech"
"2519","sleepless nites"
"2520","sight loss"
"2521","  balance"
"2522","impossible  move"
"2523","severe edema  swelling  limbs"
"2524","rhabdomyolysis/muscle loss"
"2525","i think    single annotation,  i might  wrong!"
"2526","rapid pulse"
"2527","poor coordination  walking"
"2528","difficulty sleeping"
"2529","increased sensitivity   drugs"
"2530","frequent headaches"
"2531","numbness/tingling?aching/ heavy feeling  limps"
"2532","difficulty walking due  swelling  legs"
"2533","fatigue, increased"
"2534","numness aching feeling   left arm"
"2535","pain inbetween  shoulder blades"
"2536","feeling shakey"
"2537"," tiered"
"2538","difficulty swallowing"
"2539","severe muscle pain  shoulders"
"2540","cramping  calves"
"2541","cramping  hamstrings"
"2542","cramping  back muscles"
"2543","losing strength"
"2544","difficulty  memory"
"2545","torn rotator cuff"
"2546","severe back spasm"
"2547","blockage"
"2548","zocar"
"2549","left leg,   knee, experienced stiffness"
"2550","left leg,   knee, experienced intense pain"
"2551","arthristis"
"2552","burning sensations  hands"
"2553","burning sensations  legs"
"2554"," concentrating well"
"2555","flu symptons"
"2556","bad dreams"
"2557","purple sploches around waist"
"2558","muscle atrophy arms"
"2559","muscle atrophy legs"
"2560","discoloration  skin [blotchy]   neck"
"2561","ryr"
"2562","chronic backache"
"2563","severe muscle back cramp"
"2564","back aches"
"2565","it   suspected adr,   becomes clear later   post."
"2566","abnoraml dreams"
"2567","rhinitis"
"2568","tinnitus (left ear)"
"2569","taste loss"
"2570","rhinocort"
"2571","neck hurt"
"2572","insomia"
"2573","tylenol pm"
"2574","gained  lot  weight"
"2575","bronhitis"
"2576","sinus infection"
"2577","left shoulder  almost immobile"
"2578","tinnitus   left ear"
"2579","lost  sense  taste"
"2580","leg problems"
"2581","asprin"
"2582","atenolol"
"2583","heavy legs"
"2584"," able  remember things like whether i  done something   i  placed something"
"2585","shaking"
"2586","crave carbohydrates"
"2587","crave sweets"
"2588","bouts  diverticulitis"
"2589","extreme reactions  heat"
"2590","sweating alot"
"2591","flu like symtoms"
"2592","left side  jaw itches"
"2593","left shoulder tingles"
"2594","left shoulder aches"
"2595","left leg iliotial band syndrome"
"2596","liver enzymes elevated"
"2597","muscle pain   arms"
"2598","muscle pain   legs"
"2599","muscle pain   shoulder"
"2600","eye hemorrhages"
"2601","burning feeling"
"2602","numbing   feet"
"2603","stiffness  joints"
"2604","joint pain   hips"
"2605","joint pain   lower back"
"2606","joint pain   shoulders"
"2607","joint pain   knees"
"2608","pain   left thigh"
"2609","constant gas"
"2610","severe abdominal cramps"
"2611","diahhrea"
"2612","capsacian"
"2613","shoulder painful"
"2614","  raise  arms"
"2615","aching muscles  back"
"2616","aching muscles  legs"
"2617","--touch feelings"
"2618","unable  concentrate"
"2619"," intense muscle pain  burning   middle   back  around  ribs   center   chest"
"2620","intense muscle pain  intense burning   neck"
"2621","intense muscle pain  intense burning   legs"
"2622","intense muscle pain  intense burning   arms"
"2623","swollen hands"
"2624","swollen feet"
"2625","sore ribs"
"2626","inability  sleep well"
"2627","always tired"
"2628","increased heart rate"
"2629","headaches every day"
"2630","dry joints"
"2631","lecithin"
"2632","imence pain  calf"
"2633","imence pain  feet"
"2634","imence pain  legs"
"2635","cramping  feet"
"2636","cramping  toes"
"2637","armpain"
"2638","extreme heaviness  limbs"
"2639","bloody noes"
"2640","short term memory  terrible"
"2641","buzzing  limbs"
"2642","big time depression"
"2643","lopid (gemfibrozil)"
"2644","extreme muscle weakness"
"2645","nitro"
"2646","soreness  thighs"
"2647","weakness  thighs"
"2648","  sharp mentally"
"2649","slip  vision"
"2650","started going numb legs"
"2651","legs started tingling"
"2652","arms started tingling"
"2653","arms started going numb"
"2654"," concentration problems"
"2655","feeling stupid"
"2656","extremely dry mouth"
"2657","muscle cramps  lower legs"
"2658","sever swelling  hands"
"2659","sever swelling  ankles"
"2660","sever swelling  feet"
"2661","diminished eyesight"
"2662","memory failure"
"2663","severe (burning) pain  upper left arm"
"2664","severe (burning) pain  lower left arm"
"2665","severe (burning) pain  left hand"
"2666","stiffness   knees"
"2667","pain   knees"
"2668","pain  upper back ( left shoulder blade)"
"2669","pain   elbows"
"2670","pain  left arm"
"2671","pain   intense"
"2672","pains   left knee"
"2673","arthritus"
"2674","pain    intense"
"2675","intense pain"
"2676","stuttering"
"2677","bad ocd"
"2678","muscle pain  left arm"
"2679","muscle pain  upper back"
"2680","hair dryness"
"2681","hair breakage"
"2682","lipidil micro"
"2683","lipidil"
"2684","dizziness (fainting spells)"
"2685","gemfibrozil"
"2686","brain-draining effects"
"2687","head   twitching"
"2688","hand tremors"
"2689","feel like i    fog"
"2690","muscle aches  elbows"
"2691","muscle aches  calves"
"2692","joint aches  elbows"
"2693","joint aches  calves"
"2694","joint aches  arms"
"2695","lots  gas"
"2696","calves muscle pain  "
"2697","thighs muscle pain  "
"2698","back muscle pain  "
"2699","neck muscle pain  "
"2700","glutes muscle pain  "
"2701","general feeling  weakness"
"2702","difficulty getting     chair"
"2703","mild panic attack"
"2704","abdominal rash"
"2705","shingles"
"2706","stroke like symptoms"
"2707","numbness  left side  face"
"2708","numbness  left arm"
"2709","tingling  left arm"
"2710","tingling  left side  face"
"2711","effected  equilibrium"
"2712","hair fell "
"2713","areas  fat   skin became sore   touch"
"2714","last straw  ringing   ears"
"2715","ringing   ears (tinnitus)"
"2716","aching (like  flu)"
"2717","extreme vertigo"
"2718","tendonitisis  heels"
"2719","calf leg cramps"
"2720","muscle loss"
"2721","severe tintitinitis (ringing  ears)"
"2722","vitorin"
"2723","heel tendon bruising"
"2724","red yeast"
"2725","slo-naicin"
"2726","yellow eyes"
"2727","yellow skin"
"2728","urine dark brown"
"2729","twitching  thighs"
"2730","pain  ankle"
"2731","couldnt walk"
"2732","bones  foot collapsing"
"2733","medrol"
"2734","depressions"
"2735","fibromalgyia"
"2736"," felt like i always   flu"
"2737","permanent damage   muscles"
"2738","feet pain"
"2739","muscle weakness   pevis    toes"
"2740","aches  legs"
"2741","feeling like  mind  fading away"
"2742","mentally weaker"
"2743","lisinopril"
"2744","hydrochlorothiazide"
"2745","swollen ankles"
"2746","swollen legs"
"2747","pain   lower leg"
"2748","high liver enzyme counts"
"2749","damaged  liver permanently"
"2750","pain  knees"
"2751","stiffness  lower back"
"2752","stiffness  legs"
"2753","excercise intolerance"
"2754","general muscle weakness"
"2755","neurophaty"
"2756","weak & wobbley knees"
"2757","weak & wobbley wrists"
"2758","weak & wobbley ankles"
"2759","cramping  wrists & hands"
"2760","rib cage tightness"
"2761","constant fatigue"
"2762","mental fogginess"
"2763","swollen nasal passages"
"2764","steroid nasal sprays"
"2765","allegra"
"2766","weakness  back"
"2767","sore, tingly tongue(glossitis)"
"2768","glossitis"
"2769","tendon pain"
"2770","tightened muscles  neck"
"2771","acute pain"
"2772"," severe pains"
"2773"," severe cramps"
"2774","shin pain"
"2775","thigh pain"
"2776","hand pain"
"2777","effexor"
"2778","brain problems"
"2779","swelling left arm"
"2780"," severe itching"
"2781","intolerable itching"
"2782","vivid weird dreams"
"2783","large dark bruise  hand"
"2784","everything on my body hurts"
"2785","very tired"
"2786","general depression"
"2787","severe insomnia"
"2788","irrational feelings  impending doom"
"2789","magnesium"
"2790","olive oil"
"2791","general feeling  malais"
"2792","cramps  thigh"
"2793","pain   lower legs"
"2794","muscles   stiff"
"2795","severe pain   muscles   shoulder area"
"2796","severe pain   upper back"
"2797","severe pain   neck"
"2798","stiffness neck"
"2799","pain   shoulder"
"2800","pain   back"
"2801","increasing pain"
"2802","stiffness  left knee"
"2803","drained"
"2804","choleast"
"2805","red rice yeast formula"
"2806","cholesterol  high"
"2807","extreme leg pain"
"2808","extreme leg weakness"
"2809","pain    left leg"
"2810","stiff joints"
"2811","achy joints"
"2812","wincing"
"2813","nerves sensitivity"
"2814","muscles pains"
"2815","lead legs"
"2816","oxycotin"
"2817","zanax"
"2818","body pain"
"2819","pain along front  outer side  shins"
"2820","tender   touch"
"2821","weird toe tingling"
"2822","pinched nerve   back"
"2823","horrible pain  left knee"
"2824","horrible pain   shoulders"
"2825","easily fatigued"
"2826","pain   hipjoints"
"2827","pain around  hipjoints"
"2828","wasting  muscles"
"2829","cholesterol level sky high"
"2830","muscle pain related  shoulders"
"2831","muscle spasmns  left arm"
"2832","muscle spasmns  legs"
"2833","felt like i   veil   head"
"2834","felt like i  lead   legs"
"2835","terrible pains  knee"
"2836","terrible pains  ankle"
"2837","terrible pains  big toe"
"2838","comfortably couldn't walk"
"2839","comfortably couldn't sleep"
"2840","weird symptoms (eg. popping)  knee"
"2841","weird symptoms (eg. popping)  big toe joints"
"2842","weird symptoms (eg. popping)  ankle"
"2843","terrible pain  shoulders"
"2844","terrible pain  hips"
"2845","pain   shoulders"
"2846","pain bad"
"2847","extremely limits  use   arms"
"2848","avascular necrosis"
"2849","high cholesteral"
"2850"," arms tingling"
"2851","tingling  legs"
"2852","tingling  back  neck"
"2853","burning  legs"
"2854","burning  back  neck"
"2855","burning  arms"
"2856","back  neck"
"2857","pain  shoulder-feels like arm pulled   socket"
"2858","severe cramps  toes"
"2859","feet sore"
"2860","tingling  toes  feet"
"2861","pain  toes  feet"
"2862","chronic elbow pain   arms"
"2863","skipping heart beats"
"2864","fast  slow heartbeat"
"2865","severe arrythmias"
"2866","severe irregular heartbeat"
"2867","severe heart disease"
"2868","diziness"
"2869","mevecor"
"2870","mev"
"2871","loss  muscle  left leg"
"2872","liptitor"
"2873","wicked back pain"
"2874","hypersensitivity  wrapped around  abdomen"
"2875","simvostatin"
"2876","pain   left leg  foot"
"2877","exteem pain   ankle"
"2878","dificultly  walking"
"2879","pain   foot"
"2880","sexual dysfunction"
"2881","ache  "
"2882","could not walk"
"2883","mussel twitches"
"2884","mussel cramps"
"2885","mussel spasms"
"2886","cramping   leg muscles"
"2887","weariness   leg muscles"
"2888","muscle pain   chest"
"2889","rash  blisters"
"2890","severe muscle aches"
"2891","extremely tired feeling"
"2892","low mood"
"2893","loss  self-confidence"
"2894","loss  interest  life"
"2895","impaired memory"
"2896","hard  breath"
"2897","hert  head   toe"
"2898","i thought i  going  die"
"2899","leaky heart valves"
"2900","goiter"
"2901","neuropthy   feet"
"2902","aches  hip joint"
"2903","aches  calf muscles"
"2904","crabby"
"2905","fish oil (salmon)"
"2906","glucosamine sulfate"
"2907","blurring eyesight"
"2908","painful leg cramps"
"2909","muscle weakness   left arm"
"2910","legs ache  bad"
"2911","ankles ache  bad"
"2912","unable  lose weight even   strict diet"
"2913",",  tired   time"
"2914","pain  almost every muscle"
"2915","digestive changes"
"2916","eyesight problems"
"2917","co-q10"
"2918","chronic  acute back pain"
"2919","hand cramps"
"2920","inflammation   joints"
"2921","inflammation   foot muscles"
"2922","plantar fasciitis   left foot"
"2923","motrin"
"2924","foot problems"
"2925","general weakness   calves"
"2926","general weakness   hands"
"2927","general weakness   feet"
"2928","tingling   soles   feet"
"2929","burning   soles   feet"
"2930","problems   balance"
"2931","my feet feel like i  stone bruises just  front   heel"
"2932","my hips hurt   sides"
"2933","i walk like  old person"
"2934","extreme right shoulder pain"
"2935","irratibility"
"2936","folic acid"
"2937","b6"
"2938","policosanol"
"2939","severe pain  left calf"
"2940","cramps   left calf"
"2941","trouble standing  longer periods  time"
"2942","lower leg pain"
"2943","throbbing,burning sensation"
"2944","general overal weakness"
"2945","dull headaches"
"2946","feverish"
"2947","clamy feeling"
"2948","tingly feeling  scalp"
"2949","tingly feeling  hands"
"2950","felt rotton  day long"
"2951","severe vision problems"
"2952","numbness  limbs"
"2953","anorexic"
"2954","muscles wasting"
"2955","kidney function became  problem"
"2956","significan heart muscle weakness"
"2957","feel like   constantly wearing heavy socks  gloves"
"2958","problems  balance"
"2959","speech problems"
"2960","speech  bad"
"2961","swallowing  bad"
"2962","affected  memory"
"2963","loss  vison"
"2964","leg muscle  thigh problems"
"2965","possible early parkinson's symptoms"
"2966","light headedness(problem keeping balance)"
"2967","hand writting  deteriorated"
"2968","cq-10"
"2969","parkinson's symptoms"
"2970","tired   ususal"
"2971","folgard"
"2972","liver enzymes  elevated"
"2973","hip soreness"
"2974","feels like  joints  want  work"
"2975","increase  level  fatigue"
"2976","general weakness"
"2977","constant leg pain"
"2978","terrible pain   ankles"
"2979","terrible pain   feet"
"2980","bottoms   feet hurt"
"2981","tingling toes"
"2982","numb toes"
"2983","sore ankles"
"2984","muscle pain  legs"
"2985","joint pain  legs"
"2986","muscle pain  thighs"
"2987","calves muscle pain "
"2988","joint pain  thighs"
"2989","calves joint pain "
"2990","pain  bad"
"2991","turning  bed  painful"
"2992","mild heart attack"
"2993","tiredness    high level"
"2994","moving  bed  painful"
"2995","pain back"
"2996"," remember  i  dinner  last night"
"2997"," remember  i left  dog 10 minutes "
"2998","always hungry"
"2999","flu-symptoms"
"3000","muscle pain  left elbow"
"3001","jointaches"
"3002","pains  legs"
"3003","musclesoreness"
"3004","feet pains"
"3005","pains hips"
"3006","pains neck"
"3007","backpain"
"3008","fingers hurt"
"3009","toes hurt"
"3010","head hurt"
"3011","chest hurt"
"3012","ribs hurt"
"3013","itches"
"3014","type2 diabetes"
"3015","capiten"
"3016","glcotrol"
"3017","lasix"
"3018","ultram"
"3019","severe muscle cramping"
"3020","can  sleep"
"3021","thighs   push  "
"3022","fingers twitching"
"3023","very painful muscle aches  calves"
"3024","very painful muscle aches  lower back"
"3025","muscle aches  thighs"
"3026","waking felt unsteady"
"3027","biking  difficult"
"3028","leg muscles painful  light pressure"
"3029","muscle twitching  calves"
"3030","muscle twitching  bottom  feet"
"3031","deeper muscle twitches  arms sides"
"3032","deeper muscle twitches  butt"
"3033","deeper muscle twitches  thighs"
"3034","muscle twitches"
"3035","cramping feeling"
"3036","muscle twitching   arms"
"3037","loss  muscle mass  hands"
"3038","loss  muscle mass  face"
"3039","provacal"
"3040","joint pain  knee"
"3041","muscles feel like  wet dish rag"
"3042","provacal   statin   lipitor,  will annotate  finding."
"3043","extreme muscle fatigue"
"3044","eye muscle problems"
"3045","body stiffness"
"3046","noticible loss  muscle structure"
"3047","muscule aches & pains"
"3048","fatty strands   liver"
"3049","rheumatoid arthtitis"
"3050","extreme muscle spazms   lower back"
"3051","joint aches"
"3052","type one diabetic"
"3053","strained muscles"
"3054","joint ache"
"3055","loss  muscle structure   calf muscles"
"3056","feel tired"
"3057","severe pain   legs"
"3058","muscle weakness   legs"
"3059","pain  i sit   stand   sitting position"
"3060","quick, sharp pain  center  chest"
"3061","hot/heated flushing sensation  began mid-torso  continued    top  head (top  scalp started tingling  burning)"
"3062","shaking  chills uncontrollably"
"3063","shroke"
"3064","stressed"
"3065","lower leg weakness"
"3066","cramping   calf muscles"
"3067","baycor"
"3068","inflammatory muscle weakness & degeneration"
"3069","reduced feeling   knees"
"3070","losing  feeling   right hand"
"3071","inability  perform fine motor skills"
"3072","sever muscle pain"
"3073","excrutiation pain throughout  entire body"
"3074","pains   legs"
"3075","weakness   knees"
"3076","eye sight appeared foggy"
"3077","aches  pains   back"
"3078","hurt every where"
"3079","felt like i had been run over by a truck"
"3080","couldn't walk across the room"
"3081","though i was going to die"
"3082","b-6"
"3083","b-12"
"3084","extreme joint pain"
"3085","wrists pain"
"3086","hips pain"
"3087","fatigue  arms"
"3088","extreme lower back pain"
"3089","pain  neck  shoulders"
"3090","calf cramping"
"3091","red bumps   skin"
"3092"," stressed"
"3093","pain throughout  body"
"3094","mental confusion"
"3095","body cramps"
"3096","aortic aneurysem"
"3097","poor circulation"
"3098","growing depression"
"3099","feeling  fragility"
"3100","bumps   sides   stomach  looks like chicken pots"
"3101","forgetfullness"
"3102","severe mood swings"
"3103","stomach aches"
"3104","type ii diabetes"
"3105","damaging  kidneys"
"3106","extreme pain    joints"
"3107","mild flatulance"
"3108","premarin"
"3109","severe joint pains"
"3110","dys-motility"
"3111","irritable bowel syndrome   sigmoid area  descending colon  obstipation  constipation"
"3112","short term memory dysfunction"
"3113","abnormal liver function"
"3114","skin condition"
"3115","fingertips scaly"
"3116","fingertips got puffy"
"3117","skin began  come "
"3118","severe neck cramps"
"3119","ackey leg cramps"
"3120","severe muscle pain  neck"
"3121","severe muscle pain  elbow"
"3122","severe muscle pain  left arm"
"3123","prickling,numbness  hand"
"3124","strange poisen-ivy like rash  chest  breast"
"3125","mild flatuelence"
"3126","muscle degenerating"
"3127","extreme fatique"
"3128","major gastrointestinal problems"
"3129","feel like  old man"
"3130","fitfull sleep"
"3131","cracking sensations   joints"
"3132","terrible muscle pain"
"3133","malaria"
"3134","chronic muscle pain"
"3135","constant itching"
"3136","needed help getting   bed    chair"
"3137","neck pain    back   head"
"3138","right knee protruding   joint"
"3139","wrist joints sore"
"3140","arm joints sore"
"3141","red dots  skin   body"
"3142"," bad muscle pain"
"3143","type 11 diabetic"
"3144","gastro problem"
"3145","every muscle   waist   effected"
"3146"," legs became lead"
"3147"," bladder   quit working"
"3148","blood began showing    urine"
"3149","back problems"
"3150","lost  interest  everything"
"3151","  energy"
"3152","constant back pain"
"3153","pain   calves"
"3154","pain   buttocks"
"3155","pain   thighs"
"3156","feelings  fatigue"
"3157","body pains"
"3158","nervous system problems"
"3159","pushing blood presure "
"3160","signs  osteoarthritis"
"3161","horrible leg pain"
"3162"," get   bed   morning"
"3163","can't bend "
"3164","can't walk  stairs"
"3165","asper-cream"
"3166","charley horses"
"3167","neck ache"
"3168","veneer  sadness"
"3169","very severe pain  knees"
"3170","very severe pain  hands"
"3171","very severe pain  arms"
"3172","overall weakness"
"3173","severe leg muscle pain"
"3174","calf muscle cramping"
"3175","discomfort"
"3176","impaired  ability  exercise"
"3177","impaired  ability  take long walks"
"3178","losing muscular"
"3179","neck stiffness"
"3180","muscles pain   left side   chest"
"3181","balance loss"
"3182","storke"
"3183","extreme muscle pain  shoulders"
"3184","extreme muscle pain  arms"
"3185"," bad headaches"
"3186","difficulty  swallowing"
"3187","blisters"
"3188","bursitis"
"3189","cortisone shots"
"3190","memory loss-severe"
"3191","  fog"
"3192","bottoms  feet hurt"
"3193","felt like shin splints"
"3194","tingle"
"3195","mmdepression"
"3196","muscle issues"
"3197","very blurred vision"
"3198","sudden loss  vision"
"3199","vision   blurry"
"3200","aggrivates  rhinitis"
"3201","swells  nasal passages"
"3202","litpitor"
"3203","nasonex"
"3204","severe joint pain"
"3205","chlorella"
"3206","muscle pain  hips"
"3207","muscle pain  feet"
"3208","muscle pain  shoulders"
"3209","my feet felt like i  walking  small ice cubes  barefoot"
"3210","big time flatulence"
"3211","achilles tendon tightness"
"3212","severe thigh muscle pain ( legs involved)"
"3213","  walk 75 feet"
"3214","top outer thigh muscle starts  feel  warm,  get numb  lastly  starts  feel  cool (like  icy hot patch)"
"3215","extreme vomiting"
"3216","lazyness (i  feel like  anything)"
"3217","lack  ability  concentrate"
"3218","short attention span"
"3219","changed  personality"
"3220","legs feel leaden"
"3221","cramps  thighs"
"3222","more problems   sinuses"
"3223","severe vertigo"
"3224","cold virus"
"3225","cold"
"3226","severe gas"
"3227","intestinal distention"
"3228","pain   thighs (muscle cramping)"
"3229","distention"
"3230","stabbing pain   knee"
"3231","stabbing pain   spine"
"3232","odd sensation   center back   calves"
"3233","put weight  suddenly   reason"
"3234","ringing   left ear increased"
"3235","calf sensation turned painful"
"3236","dificulty  concentrating"
"3237","occasional dizziness"
"3238","leg muscle soreness"
"3239","pains  hands"
"3240","pains  hips"
"3241","lost muscular strength"
"3242","difficulties  swallow"
"3243","problems  tinnitus"
"3244","pain   quads ( knee, back  leg)"
"3245","cramping   quads ( knee, back  leg)"
"3246"," motivated   anything"
"3247","felt generally terrible"
"3248","lower back ache"
"3249"," motivation"
"3250","pain   upper legs"
"3251","pain  knuckles"
"3252","worse headache  usual (i  migraine)"
"3253","prostate cancer"
"3254","legs  sore"
"3255","muscle fatigue   forearms"
"3256","muscle soreness   forearms"
"3257","sore cheek muscles"
"3258","numbness  left toe"
"3259","numbness  right toe"
"3260","numbness   toes"
"3261","tingling  sunny sensation   face"
"3262","migrane headaches"
"3263","  blurry vision"
"3264"," times felt like  going blind"
"3265"," times felt  i'm going blind"
"3266"," sort  g.i. problems"
"3267","extreme agitation"
"3268","blood vessels  eye burst"
"3269","hot  cold   "
"3270","felt like i    stroke"
"3271","eyes  bloodshot"
"3272","diarea"
"3273","bluss  ititching   face"
"3274","chronic pain    muscles"
"3275","chronic pain    joints"
"3276","thighs sore"
"3277","lack  control"
"3278","severe tingling"
"3279","itchy crawly feeling"
"3280","toes went  muscle spasms"
"3281","joint pain  shoulder"
"3282","extreme pain  upper back area"
"3283","exhaustion  exercise"
"3284","heavy limbs"
"3285","low sex drive"
"3286","joint problems"
"3287","debilitating muscle pain   legs"
"3288","debilitating muscle pain   back"
"3289","debilitating muscle pain   arms"
"3290","severe cramping   back"
"3291","severe cramping   legs"
"3292","thinking problems"
"3293","aching joints elbows"
"3294"," sleep   night"
"3295","aching joints wrists"
"3296","aching joints shoulders"
"3297","aching joints knees"
"3298","ezetrol"
"3299","pains   back"
"3300","ankles   soles   feet feels like i  walking  hot coals"
"3301","effect   memory"
"3302","slight muscle soreness  legs"
"3303","slight muscle soreness  arms"
"3304","major sorness  elbows"
"3305","major sorness  knees"
"3306","knee throbbing  pain"
"3307","sore feet"
"3308","left shoulder upper arm pain"
"3309","nose extremely dry"
"3310","skin - white patches"
"3311","right upper quadrant abdominal pain"
"3312","itching   skin"
"3313"," elevated liver function tests"
"3314","cholestatic jaundice"
"3315","distension"
"3316","pains   hip"
"3317","depresion"
"3318","cramps   fingers"
"3319"," blurry eyesight"
"3320","shoulders  inflammed"
"3321","neck right    right shoulder blade    sensitive    painful"
"3322","concentration  poor"
"3323","very  tired"
"3324","severe left knee pain"
"3325","muscle pain   entire body"
"3326","face  scalp tingling"
"3327","scalp itching"
"3328","vibrating  scalp"
"3329","twitching mouth"
"3330","vivid dreams"
"3331","difficult swallowing"
"3332","high cholestrol/triglycerides"
"3333","face  scalp problems"
"3334","trigeminal neuralgia"
"3335","pain  right thigh"
"3336","foot turned  right angle"
"3337","aches  pain   shoulders"
"3338","aches  pain   arms"
"3339","decrease  sexual desire"
