"","slang.V1","exp.V1"
"1400","LHM","Lord Have Mercy"
"1401","LHO","Laughing Head Off"
"1402","LHOS","Lets Have Online Sex"
"1403","LHSO","Let's Have Sex Online"
"1404","LHU","Let's Hook Up"
"1405","LIB","Lying In Bed"
"1406","LIFO","Last In, First Out"
"1407","LIG","Let It Go -or- Life Is Good"
"1408","LINS","Laugh, I Nearly Shat"
"1409","LIR","Let It Rest"
"1410","LIS","Laughing In Silence"
"1411","LJBF","Let's Just Be Friends"
"1412","LKITR","Little Kid In The Room"
"1413","LL","Livin' Large"
"1414","LLAP","Live Long and Prosper"
"1415","LLOM","Like Leno on Meth"
"1416","LLT","Looks Like Trouble"
"1417","LLTA","Lots and Lots of Thunderous Applause"
"1418","LLY","Licking Love You"
"1419","LM46","Let's Meet For Sex"
"1420","LM4a~##zzzz>","Let's Meet For A Joint"
"1421","LMAO","Laughing My Ass Off"
"1422","LMBAO","Laughing My Black Ass Off"
"1423","LMBPO","Laughing My Booty Pop Off"
"1424","LMFAO","Laughing My F***ing Ass Off"
"1425","LMFO","Let Me Find Out"
"1426","LMHO","Laughing My Head Off"
"1427","LMIRL","Let's Meet In Real Life"
"1428","LMK","Let Me Know"
"1429","LMKHTWOFY","Let Me Know How That Works Out For You"
"1430","LMOA","Left a Message On your Answering machine"
"1431","LMP","Lick My Pussy"
"1432","LMR","Like My Recent"
"1433","LMS","Like My Status -or- Learning Management System - or Lick My Sack"
"1434","LMSO","Laughing My Socks Off"
"1435","LMTA","Like Minds Think Alike"
"1436","LMTC","Left a Message To Contact"
"1437","LMTCB","Left Message To Call Back"
"1438","lo","it means hello"
"1439","LOAL","Life Of A Local"
"1440","LOB","Lying On Bed"
"1441","LOGO","Language Of Graphics Oriented"
"1442","LOK","Lots Of Kisses"
"1443","LOL","Laughing Out Loud -or- Lots Of Love -or- Living On Lipitor"
"1444","LOL WUSS","Laugh Out Loud With Unintentional Snort Sound"
"1445","LOLA","Laugh Out Loud Again"
"1446","LOLOLOL","Laugh Out Loud Out Loud Out Loud"
"1447","LOLPMP","Laugh Out Loud Peed My Pants"
"1448","LOLROTF&ICGU","Laughing Out Loud Rolling On The Floor & I Can't Get Up"
"1449","LOLZ","Lots Of Laughs"
"1450","LOMBARD","Lots Of Money But A Right Dick"
"1451","LOML","Love Of My Life"
"1452","LONH","Lights On, Nobody Home"
"1453","LOOL","Laughing Outrageously Out Loud"
"1454","LOOMM","Laughing Out Of My Mind"
"1455","LOPSOD","Long On Promises, Short On Delivery"
"1456","LORE","Learn Once, Repeat Everywhere"
"1457","LOU","Laughing Over You"
"1458","LOVE","Lots Of Voluntary Effort"
"1459","LPC","Lead Pipe Cinch -or- Lesbian Power Couple"
"1460","LPOS","Lazy Piece Of Sh**"
"1461","LRF","Little Rubber Feet"
"1462","LRT","Last ReTweet"
"1463","LSB","Life Sucks Balls"
"1464","LSHITIPAL","Laughing So Hard I Think I Peed A Little"
"1465","LSHMBH","Laughing So Hard My Belly Hurts"
"1466","LSV","Language, Sex, Violence"
"1467","LTF","Lick The Floor"
"1468","LTHTT","Laughing Too Hard To Type"
"1469","LTIC","Laughing 'Til I Cry"
"1470","LTIO","Laughing Til I Orgasm"
"1471","LTM","Laughing To Myself"
"1472","LTNS","Long Time No See"
"1473","LTNT","Long Time, No Type"
"1474","LTOTD","Last Tweet Of The Days"
"1475","LTR","Long Term Relationship"
"1476","LTRP","Long Term Relationship Pussy"
"1477","LTS","Laughing to Self"
"1478","LTTIC","Look The Teacher Is Coming"
"1479","LU","Locked Up -or- Laughing Uproariously"
"1480","LuK","it means good luck"
"1481","LULU","Locally Undesireable Land Use"
"1482","lulz","laughs or LulzSec"
"1483","LUMTP","Love You More Than Pie"
"1484","LUMU","Love You Miss You"
"1485","LUMUMI","Love You Miss You Mean It"
"1486","luser","loser"
"1487","LUSM","Love You So Much"
"1488","luv","it means love"
"1489","LVL","Level"
"1490","LWR","Launch When Ready"
"1491","LWU","Laughing With You"
"1492","LWYS","Look What You Started"
"1493","LY","Love You"
"1494","LY4E","Love You Forever"
"1495","LYA","Love You All"
"1496","LYAAF","Love You As A Friend"
"1497","LYB","Love You Babe"
"1498","LYCYLBB","Love You, See You Later, Bye Bye"
"1499","LYKYAMY","Love You, Kiss You, Already Miss You"
"1500","LYL","Love You Lots"
"1501","LYLAB","Love You Like a Brother"
"1502","LYLAS","Love You Like A Sister"
"1503","LYLB","Love You Later Bye"
"1504","LYMI","Love You, Mean It"
"1505","LYS","Love YourSelf"
"1506","LYSOUAQ","Learn Your Sh** Or Up And Quit"
"1507","LYSYB","Love Ya, See Ya, Bye"
"1508","LYWAMH","Love You With All My Heart"
"1509","M","Mom"
"1510","M2NY","Me Too, Not Yet"
"1511","M4C","Meet for Coffee"
"1512","M4M","Men for Men -or- Male for Male"
"1513","m4w","men for women"
"1514","M8 or M8s","Mate -or- Mates"
"1515","MA","Mature Audience"
"1516","MAGA","Make America Great Again"
"1517","MAMIL","Middle Aged Men In Lycra"
"1518","MAYA","Most Advanced Yet Accessible"
"1519","MB","Message Board"
"1520","MBF","Must Be Following"
"1521","MBN","Must Be Nice"
"1522","MBRFN","Must Be Real F***ing Nice"
"1523","MCM","Man Crush Monday"
"1524","MD","Doctor of Medicine -or- Managing Director"
"1525","MDMS","Million Dollar Mindset"
"1526","MDR","Mort De Rire"
"1527","MEGO","My Eyes Glaze Over"
"1528","meh","Who cares, whatever"
"1529","MEJR","My Eyes Just Rolled"
"1530","MERP","Modestly Enlightened Rich People"
"1531","MF","My Friend -or- Mother F***ing"
"1532","MFBTY","My Fans Better Than Yours"
"1533","MFD","Multi-Function Device"
"1534","MfG","Mit freundlichen Gruessen"
"1535","MFIC","Mother F***er In Charge"
"1536","MFRC","My Fingers Are Crossed"
"1537","MFWIC","Mother F***er Who's In Charge"
"1538","MHBFY","My Heart Bleeds For You"
"1539","mhhm","uh huh -or- yeah"
"1540","MHOTY","My Hat's Off To You"
"1541","MHYF","Move How You Feel"
"1542","MIA","Missing In Action"
"1543","MIH","Make It Happen"
"1544","MIHAP","May I Have Your Attention Please"
"1545","MIL","Mother-In-Law"
"1546","MILF","Mother I'd Like to F***"
"1547","MINS","Minutes"
"1548","MIRL","Meet In Real Life"
"1549","MISTWEET","a tweet you regret you sent"
"1550","MITIN","More Info Than I Needed"
"1551","MIWI","Makes It Worth It"
"1552","MKOP","My Kind Of Place"
"1553","MLA","Multiple Letter Acronym"
"1554","MLAS","My Lips Are Sealed"
"1555","mlm","giving the digital middle finger"
"1556","MLYLT","Me Love You Long Time"
"1557","MM","Market Maker -or- Merry Meet"
"1558","MMHA2U","My Most Humble Apologies To You"
"1559","mmk","mmm ok"
"1560","MML","Made Me Laugh"
"1561","MMYT","Mail Me Your Thoughts"
"1562","MO","Move On"
"1563","mob","it means mobile"
"1564","MOF","Matter Of Fact"
"1565","MOFO","Mother F***er"
"1566","MOMPL","MOMent PLease"
"1567","moobs","man boobs"
"1568","MOOC","Massive Open Online Course"
"1569","MOOS","Member Of The Opposite Sex"
"1570","MOP","MOment Please"
"1571","MorF","Male or Female"
"1572","MOS","Mom Over Shoulder"
"1573","MOSS","Member(s) Of The Same Sex"
"1574","MOT","Member Of the Tribe"
"1575","MOTAS","Member Of The Appropriate Sex"
"1576","MOTD","Message Of The Day"
"1577","MOTOS","Member(s) Of The Opposite Sex"
"1578","MOTSS","Member(s) Of The Same Sex"
"1579","MOV","My Own Views"
"1580","MPFB","My Personal F*** Buddy"
"1581","MRA","Moving Right Along"
"1582","MRM","Men's Rights Movement"
"1583","MRPH","Mail the Right Place for Help"
"1584","MRT","Modified ReTweet"
"1585","MSG","Message"
"1586","MSM","Main Stream Media -or- Men who Sleep with Men"
"1587","MSMD","Monkey See Monkey Do"
"1588","MSNUW","Mini-Skirt No UnderWear"
"1589","MSTA","Must See To Appreciate"
"1590","MSTM","Makes Sense To Me"
"1591","MT","empty -or- Modified Tweet -or- Mean on Twitter"
"1592","MTBF","Mean Time Before Failure"
"1593","MTF","More To Follow"
"1594","MTFBWY","May The Force Be With You"
"1595","MTLA","My True Love Always"
"1596","MTMMFBWY","May the Micky Mouse Force Be With You"
"1597","MTSBWY","May The Schwartz Be With You"
"1598","MTSITN","More Than Ships In The Night"
"1599","MU","Miss You"
"1600","MUAH or MWAH","The sound of a kiss"
"1601","MUBAR","Messed up Beyond All Recognition"
"1602","MULC","Miss You Like Crazy"
"1603","MUSL","Missing You Sh** Loads"
"1604","MUSM","Miss You So Much"
"1605","MVA","Motor Vehicle Accident"
"1606","MVA no PI","Motor Vehicle Accident with no Personal Injury"
"1607","MVA w/PI","Motor Vehicle Accident with Personal Injury"
"1608","MVO","Moving On"
"1609","mvto","it means thank you"
"1610","MWBRL","More Will Be Revealed Later"
"1611","MWS","My Wife Says"
"1612","MYL","Mind Your Language"
"1613","MYOB","Mind Your Own Business"
"1614","MYT","Meet You There"
"1615","MYWB","Make Your World Bigger"
"1616","N","No -or- And"
"1617","N pic","Nice picture"
"1618","N-A-Y-L","In A While"
"1619","N/A","Not Applicable -or- Not Affiliated"
"1620","N/M","Nothing Much"
"1621","N/T","No Text"
"1622","N1","Nice One"
"1623","N2M","Not To Mention -or- Not Too Much"
"1624","N2MJCHBU","Not Too Much Just Chillin, How Bout You?"
"1625",NA,"Nice Ass"
"1626","NAB","Not A Blonde"
"1627","NADT","Not A Damn Thing"
"1628","NAGB","Nearly Almost A Good Bridge"
"1629","NAGI","Not A Good Idea"
"1630","NAK","Nursing At Keyboard"
"1631","NALOPKT","Not A Lot Of People Know That"
"1632","NAMAILU","Not As Much As I Love You"
"1633","NASCAR","Non-Athletic Sport Centered Around Rednecks"
"1634","NATC","Not A Text Conversation"
"1635","natch","Naturally"
"1636","NATO","No Action, Talk Only"
"1637","NAVY","Never Again Volunteer Yourself"
"1638","NAZ","Name, Address, Zip (also means Nasdaq)"
"1639","NB","Nota Bene"
"1640","NB4T","Not Before Time"
"1641","NBD","No Big Deal"
"1642","NBFAB","Not Bad For A Beginner"
"1643","NBFABS","Not Bad For A Bot Stopper"
"1644","NBG","No Bloody Good"
"1645","NBIF","No Basis In Fact"
"1646","NBLFY","Nothing But Love For You"
"1647","NBS","No Bull Sh**"
"1648","NC","Nice Crib -or- No Comment"
"1649","NCBD","New Comic Book Day"
"1650","NCG","New College Graduate"
"1651","ND","No Date"
"1652","NDN","Indian"
"1653","ne","Any"
"1654","ne-wayz","anyways"
"1655","ne1","Anyone"
"1656","ne14kfc","anyone for KFC?"
"1657","ne1er","anyone here?"
"1658","Ne2H","Need To Have"
"1659","NEET","Not currently Engaged in Employment, Education, or Training"
"1660","NEF","Not Even Funny"
"1661","NEJ","Not Even Joking"
"1662","NESEC","Any Second"
"1663","NEV","Neighborhood Electric Vehicle"
"1664","NEWEETER","NEW tweeter"
"1665","NEWS","North, East, West, South"
"1666","NFBSK","Not For British School Kids"
"1667","NFC","Not Favorably Considered -or- No F***ing Chance"
"1668","NFE","No F***ing Excuses"
"1669","NFF","No F***ing Fair"
"1670","NFG","Not F***ing Good"
"1671","NFI","No F***ing Idea"
"1672","NFS","Need For Sex -or- Network File System"
"1673","NFW","No F***ing Way -or- No Feasible Way"
"1674","NG","New Game"
"1675","NGB","Nearly Good Bridge"
"1676","NGH","Not Gonna Happen"
"1677","NGL","Not Gonna Lie"
"1678","NGO","Non-Governmental Organization, a.k.a. NGOs"
"1679","NH","Nice Hand"
"1680","NHOH","Never Heard Of Him/Her"
"1681","NI","Not Interested"
"1682","NI4NI","An Eye For An Eye"
"1683","NICE","Nonsense In Crappy Existence"
"1684","NIDL","Not Interested, DisLike"
"1685","NIFOC","Nude In Front Of The Computer"
"1686","NIGYYSOB","Now I've Got You, You Son Of a B*tch"
"1687","NIH","Not Invented Here"
"1688","NIM","No Internal Message"
"1689","NIMBY","Not In My Back Yard"
"1690","NIMJD","Not In My Job Description"
"1691","NIMQ","Not In My Queue"
"1692","NIMY","Never In A Million Years"
"1693","NINJA","No Income, No Job nor Assets"
"1694","NINO","Nothing In, Nothing Out -or- No Input, No Output"
"1695","NISM","Need I Say More"
"1696","NITL","Not In This Lifetime"
"1697","NIYWFD","Not In Your Wildest F***ing Dreams"
"1698","NJAPF","Not Just Another Pretty Face"
"1699","NLL","Nice Little Lady"
"1700","NLTBRO","Not Likely To Be Run Over"
"1701","NM","Never Mind -or- Nothing Much -or Not Much -or- Nice Move"
"1702","nm, u","not much, you?"
"1703","NME","Enemy"
"1704","NMH","Not Much Here"
"1705","NMHJC","Not Much Here, Just Chilling"
"1706","NMM","#NoMakeupMonday"
"1707","NMP","Not My Problem -or- Not My President"
"1708","NMTE","Now More Than Ever"
"1709","NMU","Not Much, You?"
"1710","NN","Not Now -or- Need"
"1711","NNCIMINTFZ","Not Now Chief, I'm In The F ***in' Zone"
"1712","NNR","Need Not Respond"
"1713","nnsh","night night sweet heart"
"1714","NNWW","Nudge, Nudge, Wink, Wink"
"1715","NO","Not Online"
"1716","no praw","no problem"
"1717","no1","it means no one"
"1718","NOA","Not Online Anymore"
"1719","NOFI","No OFfence Intended"
"1720","noob","also seen as: n00b -or- nub -or- no0blet"
"1721","NOS","New Old Stock -or- Not Outside Sales"
"1722","NOY","Not Online Yet"
"1723","NOYB","None Of Your Business"
"1724","NP","No Problem -or- Nosy Parents"
"1725","NQA","No Questions Asked"
"1726","NQOCD","Not Quite Our Class Dear"
"1727","NR","Nice Roll"
"1728","NRG","Energy"
"1729","NRN","No Reply Necessary"
"1730","NS","Nice Set -or- No Show"
"1731","NSA","No Strings Attached"
"1732","NSB","Not Sure But"
"1733","NSFW","Not Safe For Work"
"1734","NSS","No Sh** Sherlock"
"1735","NSTLC","Need Some Tender Loving Care"
"1736","NTA","Not This Again"
"1737","NTABOM","Now That's A Bunch Of Malarkey"
"1738","NTB","Not Too Bright"
"1739","NTBM","Not To Be Missed"
"1740","NTBN","No Text Back Needed"
"1741","nth","nothing"
"1742","NTIM","Not That It Matters"
"1743","NTIMM","Not That It Matters Much"
"1744","NTK","Nice To Know"
"1745","NTL","nonetheless"
"1746","NTM","Not That Much"
"1747","NTMU","Nice To Meet You"
"1748","NTTAWWT","Not That There's Anything Wrong With That"
"1749","NTW","Not To Worry"
"1750","NTYMI","Now That You Mention It"
"1751","NUB","New person to a site or game"
"1752","NUFF","Enough"
"1753","NVM","NeVer Mind"
"1754","NVNG","Nothing Ventured, Nothing Gained"
"1755","NW","No Way"
"1756","NWAL","Nerd Without A Life"
"1757","NWOT","New WithOut Tags"
"1758","NWR","Not Work Related"
"1759","NWT","New With Tags"
"1760","NYC","Not Your Concern"
"1761","NYCFS","New York City Finger Salute"
"1762","O","Opponent -or- Over -or- Or"
"1763","OAO","Over And Out"
"1764","OATUS","On A Totally Unrelated Subject"
"1765","OAUS","On An Unrelated Subject"
"1766","OB","Obligatory"
"1767","OBE","Overcome By Events"
"1768","OBO","Or Best Offer"
"1769","OBS","Obviously"
"1770","OBTW","Oh By The Way"
"1771","OBX","Old Battle Axe"
"1772","OC","Original Character -or- Own Character"
"1773","OCD","Obsessive Compulsive Disorder"
"1774","OD","Online Date"
"1775","ODTAA","One Damn Thing After Another"
"1776","OF","Old Fart"
"1777","OFAP","Old Fart At Play"
"1778","ofc","of course"
"1779","OG","Original Gangsta"
"1780","OH","Off Hook"
"1781","OHF","Oh Heck Friends"
"1782","OIC","Oh, I See"
"1783","OICU812","Oh I See, You Ate One Too"
"1784","OIRWIS","Oh I Remember What I Said"
"1785","OK","okay -or- ok -or- k -or- all correct"
"1786","OL","Old Lady"
"1787","OLL","OnLine Love"
"1788","OLLI","One Life, Live It"
"1789","OLN","OnLine Netiquette"
"1790","OLO","Only Laughed Once"
"1791","OM","Old Man"
"1792","OMB","Oh My Buddha"
"1793","OMDB","Over My Dead Body"
"1794","OME","Oh My Evolution"
"1795","OMFG","Oh My F***ing God"
"1796","OMG","Oh My God"
"1797","OMIK","Open Mouth, Insert Keyboard"
"1798","OML","Oh My Lord"
"1799","OMMA","Oh My Aching Ass"
"1800","OMW","On My Way -or- Oh My Word"
"1801","OMWT","On My Way Too"
"1802","ONID","Oh No I Didn't"
"1803","ONNA","Oh No, Not Again"
"1804","ONNTA","Oh No, Not This Again"
"1805","ONUD","Oh No You Didn't"
"1806","OO","Over and Out"
"1807","OOAK","One Of A Kind"
"1808","OOC","Out Of Character -or- Out Of Control"
"1809","OOF","Out Of Facility"
"1810","OOI","Out Of Interest"
"1811","OOMF","One Of My Followers"
"1812","OOO","Out Of Office -or- Out Of Commission"
"1813","OOS","Out Of Stock"
"1814","OOT","Out Of Touch"
"1815","OOTB","Out Of The Box -or- Out Of The Blue"
"1816","OOTC","Obligatory On Topic Comment"
"1817","OOTT","Out Of The Loop"
"1818","OOYF","One Of Your Followers"
"1819","OP","Original Post"
"1820","OSIF","Oh Sh** I Forgot"
"1821","OSINTOT","Oh Sh** I Never Thought Of That"
"1822","OST","On Second Thought"
"1823","OT","Off Topic"
"1824","OTASOIC","Owing To A Slight Oversight In Construction"
"1825","OTB","Only The Brave"
"1826","OTC","Over The Counter"
"1827","OTF","On The Floor -or- On The Fone"
"1828","OTH","Off The Hook"
"1829","OTL","Out To Lunch"
"1830","OTOH","On The Other Hand"
"1831","OTP","On The Phone"
"1832","OTS","On The Scene -or- On The Spot -or- Off The Shelf"
"1833","OTT","Over The Top"
"1834","OTTOMH","Off The Top Of My Head"
"1835","OTW","On The Way -or- Off The Wall -or- Otherwise"
"1836","OUSU","Oh You Shut Up"
"1837","ova","it means over"
"1838","OWTTE","Or Words To That Effect"
"1839","OZ","Australia"
"1840","O_O","Confused"
"1841","P","Partner"
"1842","P&C","Private & Confidential"
"1843","P-ZA","Pizza"
"1844","P/U","Pick Up"
"1845","P2C2E","Process Too Complicated Too Explain"
"1846","P2U4URAQTP","Peace To You For You Are A Cutie Pie"
"1847","P3r50n","it means person"
"1848","P911","Parent Alert"
"1849","PA","Parent Alert"
"1850","PAC","Political Action Committee"
"1851","PAL","Parents Are Listening -or- Peace And Love"
"1852","PANS","Pretty Awesome New Stuff"
"1853","PAP","Post A Picture"
"1854","PaRT","Partial ReTweet"
"1855","PATT","Party All The Time"
"1856","PAW","Parents Are Watching"
"1857","PAX","Passengers"
"1858","PB","Potty Break"
"1859","PBB","Parent Behind Back"
"1860","PBEM","Play By EMail"
"1861","PBIAB","Pay Back Is A Bitch"
"1862","PBJ","Peanut Butter and Jelly -or- Pretty Boy Jock"
"1863","PC","Personal Computer -or- Politically Correct"
"1864","PCM","Please Call Me"
"1865","PCMCIA","People Can't Memorize Computer Industry Acronyms"
"1866","PD","Public Domain"
"1867","PDA","Personal Digital Assistant -or- Public Display of Affection"
"1868","PDOMA","Pulled Directly Out Of My Ass"
"1869","PDQ","Pretty Darn Quick"
"1870","PDS","Please Don't Shout"
"1871","PEBCAC","Problem Exists Between Chair And Computer"
"1872","PEBCAK","Problem Exists Between Chair And Keyboard"
"1873","PEEP","People Engaged and Empowered for Peace"
"1874","peeps","people"
"1875","pen15","it stands for penis"
"1876","PFA","Pulled From Ass -or- Please Find Attached"
"1877","PFC","Pretty F***ing Cold"
"1878","PFM","Pure F***ing Magic"
"1879","phat","Pretty Hot And Tempting"
"1880","PHB","Pointy Haired Boss"
"1881","PHS","Pointy Haired Stupidvisor"
"1882","PIAPS","Pig In A Pant Suit"
"1883","PIBKAC","Problem Is Between Keyboard And Chair"
"1884","PICNIC","Problem In Chair, Not In Computer"
"1885","PIF","Paid In Full"
"1886","PIMP","Peeing In My Pants -or- Protection, Instruction, Management of Prostitutes"
"1887","PIMPL","Peeing In My Pants Laughing"
"1888","PIN","Person In Need -or- Personal Identification Number"
"1889","PIR","Parent In Room"
"1890","PITA","Pain In The Ass"
"1891","PITMEMBOAM","Peace In The Middle East My Brother Of Another Mother"
"1892","pix","pictures -or- photos"
"1893","PLO","Peace, Love, Out"
"1894","PLOKTA","Press Lots Of Keys To Abort"
"1895","PLOS","Parents Looking Over Shoulder"
"1896","PLS","Please"
"1897","PLU","People Like Us"
"1898","PLUR","Peace, Love, Unity, Respect"
"1899","PLZ","Please"
"1900","PM","Personal Message -or- Private Message"
"1901","PMBI","Pardon My Butting In"
"1902","PMF","Pardon My French"
"1903","PMFJI","Pardon Me For Jumping In"
"1904","PMHT","Pardon My HashTag a.k.a. #PMHT"
"1905","PMIGBOM","Put Mind In Gear Before Opening Mouth"
"1906","PMJI","Pardon My Jumping In"
"1907","PML","Pissing Myself Laughing"
"1908","PMN","Picking My Nose"
"1909","PMP","Peeing My Pants"
"1910","PMSL","Pissed MySelf Laughing"
"1911","PNATMBC","Pay No Attention To Man Behind the Curtain"
"1912","PNATTMBTC","Pay No Attention To The Man Behind The Curtain"
"1913","PNCAH","Please, No Cursing Allowed Here"
"1914","PND","Possibly Not Definitely -or- Personal Navigation Device"
"1915","PO","Piss Off"
"1916","po-mo","post-modern"
"1917","POA","Plan Of Action"
"1918","POAHF","Put On A Happy Face"
"1919","POAK","Passed Out At Keyboard"
"1920","POD","Print On Demand -or- Play Others Downtime"
"1921","POETS","Piss Off Early Tomorrow's Saturday"
"1922","POLITWEET","POLItical TWEET"
"1923","POMS","Parent Over My Shoulder"
"1924","PONA","Person Of No Account"
"1925","POP","Photo On Profile, Point Of Purchase/Presence, Post Office Protocol"
"1926","POS","Parent Over Shoulder -or- Piece Of Sh**"
"1927","POSC","Piece Of Sh** Computer"
"1928","POSSLQ","Persons of the Opposite Sex Sharing Living Quarters"
"1929","POTATO","Person Over Thirty Acting Twenty One"
"1930","POTS","Plain Old Telephone System -or- Pat On The Shoulder"
"1931","POTUS","President of the United States"
"1932","POV","Point Of View"
"1933","PP","Personal Problem"
"1934","PPC","Pay Per Click -or- Pay-Per-Click"
"1935","PPL","People -or- Pay-Per-Lead -or- Pay Per Lead"
"1936","PPPPPPP or 7P","Prior Proper Planning Prevents Piss Poor Performance"
"1937","pron","porn"
"1938","PRT","Partial ReTweet -or- Please ReTweet -or- Party"
"1939","PRW","Parents Are Watching"
"1940","PS","Post Script"
"1941","PSA","Public Service Announcement"
"1942","PSE","Porn Star Experience"
"1943","PSO","Product Superior to Operator"
"1944","PTAT","People Talking About This"
"1945","PTH","Prime Tanning Hours"
"1946","PTL","Praise The Lord"
"1947","PTMM","Please Tell Me More"
"1948","PTOYED","Please Turn Off Your Electronic Devices"
"1949","PTP","Pardon The Pun -or- Pity The Poor"
"1950","PTPOP","Pat The Pissed Off Primate"
"1951","PU","That Stinks"
"1952","PUH","Personal Umbrella Handler"
"1953","PUSH","Praying Until Something Happens"
"1954","puter","computer"
"1955","PVP","Player Versus Player"
"1956","pw","password"
"1957","PWAS","Prayer Wheels Are Spinning"
"1958","PWAT","Pay With A Tweet"
"1959","PWCB","Person Will Call Back"
"1960","pwms","playing with myself"
"1961","pwn","own"
"1962","pwnt","owned"
"1963","PWOMS","Parent Watching Over My Shoulder"
"1964","PWP","Plot, What Plot?"
"1965","PYFB","Pay Your F***ing Bill"
"1966","PYOP","Pray Your Own Prayer"
"1967","Q","Queue -or- Question"
"1968","Q&A","Question and Answer"
"1969","Q1","it means: first Quarter"
"1970","Q2C","Quick To Cum"
"1971","Q416","it means: Quarter 4 in 2016"
"1972","Q4U","Question For You"
"1973","QAP","Quickly As Possible"
"1974","QB","Quarter Back"
"1975","QC","Quality Control"
"1976","QED","Quod Erat Demonstrandum"
"1977","QFE","Quoted For Emphasis"
"1978","QFMT","Quoted For More Truth"
"1979","QFT","Quoted For Truth -or- Quit F***ing Talking"
"1980","QI","Quite Interesting"
"1981","qix","it means quick"
"1982","QK","Ninja"
"1983","QL","Quit Laughing"
"1984","QLS","Reply"
"1985","QOTD","Quote Of The Day"
"1986","QOTP","Quote Of The Post"
"1987","QQ","Quick Question -or- Cry More"
"1988","QS","Quit Scrolling"
"1989","QT","Cutie -or- Quiet"
"1990","QYB","Quit Your Bitching"
"1991","r","are"
"1992","r u da?","Are you there?"
"1993","r u goin?","Are you going?"
"1994","r u there?","Are you there?"
"1995","R&D","Research & Development"
"1996","R&R","Rest & Relaxation"
"1997","RAEBNC","Read And Enjoyed, But No Comment"
"1998","RAF","Random As F***"
"1999","RAFO","Read And Find Out"
"2000","RAT","Remotely Activated Trojan -or- Remote Access Tool"
"2001","RB@Ya","Right Back at Ya"
"2002","RBAY","Right Back At You"
"2003","RBF","Referencing Bitch Face"
"2004","RBTL","Read Between The Lines"
"2005","RBU","Rainbows, Butterflies, Unicorns"
"2006","RC","Remote Control"
"2007","RCI","Rectal Cranial Inversion"
"2008","RDV","Reader's Digest Version"
"2009","RE","Regards -or- Reply -or- Hello Again"
"2010","REDLYFE","Repeat Every Day Lifestyle"
"2011","REHI","Hi Again"
"2012","RESO","Reservation"
"2013","RFD","Request For Discussion"
"2014","RFP","Request For Proposal"
"2015","RFR","Really F***ing Rich"
"2016","RFS","Really F***ing Soon"
"2017","rgds","it means regards"
"2018","RGR","Roger"
"2019","RHIP","Rank Has Its Privileges"
"2020","RHK","RoundHouse Kick"
"2021","RI&W","Read It And Weep"
"2022","RIMJS","Really I'M Just Saying"
"2023","RINO","Republican In Name Only"
"2024","RIP","Rest In Peace, a.k.a. big RIP"
"2025","RIYL","Recommended If You Like"
"2026","RKBA","Right to Keep and Bear Arms"
"2027","RL","Real Life"
"2028","RLCO","Real Life Conference"
"2029","RLF","Real Life Friend"
"2030","RLRT","Real Life ReTweet"
"2031","RM","Remake"
"2032","RMB","Rings My Bell"
"2033","RMETTH","Rolling My Eyes To The Heavens"
"2034","RMLB","Read My Lips Baby"
"2035","RMMA","Reading My Mind Again"
"2036","RMMM","Read My Mail Man"
"2037","RN","Right Now"
"2038","RNN","Reply Not Necessary"
"2039","RNY","it means rainy"
"2040","ROFL","Rolling On Floor Laughing"
"2041","ROFLMAO","Rolling On Floor Laughing My Ass Off"
"2042","ROFLMAOASTC","Rolling On Floor Laughing My Ass Off And Scaring The Cat"
"2043","ROFLOL","Rolling On Floor Laughing Out Loud"
"2044","ROR","Raffing Out Roud (in scooby-doo dialect)"
"2045","ROTFL","Rolling On The Floor Laughing"
"2046","ROTFLMAO","Rolling On The Floor Laughing My Ass Off"
"2047","ROTFLMFAO","Rolling On The Floor Laughing My F***ing Ass Off"
"2048","ROTFLOL","Rolling On The Floor Laughing Out Loud"
"2049","ROTGL","Rolling On The Ground Laughing"
"2050","ROTGLMAO","Rolling On The Ground Laughing My Ass Off"
"2051","ROTM","Right On The Money"
"2052","RPG","Role Playing Games"
"2053","RQB","Request Quotation Bidding"
"2054","RRQ","Return Receipt reQuested"
"2055","RRR","haR haR haR (instead of LOL)"
"2056","RSN","Real Soon Now"
"2057","RSVP","Repondez S'il Vous Plait"
"2058","RT","Real Time -or- ReTweet"
"2059","RTA","Road Traffic Accident"
"2060","RTB","Returning To Base"
"2061","RTBM","Read The Bloody Manual"
"2062","RTBS","Reason To Be Single"
"2063","RTFAQ","Read The FAQ"
"2064","RTFF","Read The F***ing FAQ"
"2065","RTFM","Read The F***ing Manual"
"2066","RTFQ","Read The F***ing Question"
"2067","RTH","Release The Hounds"
"2068","RTHX","Re-tweet Thanks"
"2069","RTK","Return To Keyboard"
"2070","RTM or RTFM","Read The Manual -or- Read The F***ing Manual"
"2071","RTS","Read The Screen"
"2072","RTSM","Read The Silly Manual"
"2073","RTSS","Read The Screen Stupid"
"2074","RTTSD","Right Thing To Say Dude"
"2075","RTWFQ","Read The Whole F***ing Question"
"2076","RU","Are You?"
"2077","RU/18","Are You Over 18?"
"2078","RUFKM","Are You F***ing Kidding Me?"
"2079","RUH","Are You Horny?"
"2080","RUMCYMHMD","Are You on Medication Cause You Must Have Missed a Dose"
"2081","RUMORF","Are You Male OR Female?"
"2082","RUNTS","Are You Nuts?"
